number,section,title,status,year,abstract,authors,venue,paper_url,paper_label,slides_url,doi_url,bibtex,media,comment
11,conference,Randomized FIFO Mechanisms,,2022,"We study the matching of jobs to workers in a queue, e.g. a ridesharing platform dispatching drivers to pick up riders at an airport. Under FIFO dispatching, the heterogeneity in trip earnings incentivizes drivers to cherry-pick, increasing riders' waiting time for a match and resulting in a loss of efficiency and reliability. We first present the direct FIFO mechanism, which offers lower-earning trips to drivers further down the queue. The option to skip the rest of the line incentivizes drivers to accept all dispatches, but the mechanism would be considered unfair since drivers closer to the head of the queue may have lower priority for trips to certain destinations. To avoid the use of unfair dispatch rules, we introduce a family of randomized FIFO mechanisms, which send declined trips gradually down the queue in a randomized manner. We prove that a randomized FIFO mechanism achieves the first best throughput and the second best revenue in equilibrium. Extensive counterfactual simulations using data from the City of Chicago demonstrate substantial improvements of revenue and throughput, highlighting the effectiveness of using waiting times to align incentives and reduce the variability in driver earnings."," Hongyao Ma, Hamid Nazerzadeh and Chiwei Yan",ACM Conference on Economics and Computation,,,,,,,
12,conference,Power-of-d Choices Load Balancing in the Sub-Halfin Whitt Regime,,2023,"We consider the load balancing system under Poisson arrivals, exponential services, and homogeneous servers. Upon arrival, a job is to be routed to one of the servers, where it is queued until service. We consider the Power-of-$d$ choices routing algorithm, which chooses the queue with minimum length among $d$ randomly sampled queues. We study this system in the many-server heavy-traffic regime where the number of servers goes to infinity simultaneously when the load approaches the capacity. In particular, we consider a sequence of systems with $n$ servers, where the arrival rate of the $n^{\text{th}}$ system is $\lambda=n-n^{1-\gamma}$ for some $\gamma \in (0, 0.5)$, known as the sub-Halfin-Whitt regime. It was shown by [Liu Ying (2020)] that under Power-of-$d$ choices routing with $d \geq n^\gamma \log n$, the queue length behaves similarly to that of JSQ and that there are asymptotically zero queueing delays. 

The focus of this paper is to characterize the behavior when $d$ is below this threshold. We obtain high probability bounds on the queue lengths for various values of $d$ and large enough $n$. In particular, we show that when $d$ grows polynomially in $n$ but slower than in [Liu Ying (2020)], i.e., if $d$ is $\Theta\left((n^\gamma\log n)^{1/m})\right)$ for some integer $m>1$, then the asymptotic queue length is $m$ with high probability. This finite queue length behavior is similar to JSQ in the so-called nondegenerate slowdown regime (where $\gamma=1$). Moreover, if $d$ grows polylog in $n$, i.e., slower than any polynomial, but is at least $\Omega(\log (n)^3)$, the queue length blows up to infinity asymptotically. Such behavior is similar to that under JSQ in the so-called super slowdown regime ($\gamma>1$). We obtain these results by using an iterative state space collapse approach. We first establish a weak state-space collapse (SSC) on the queue lengths. Then, we bootstrap on weak SSC to iteratively narrow down the region of the collapse. After enough steps, this inductive refinement provides the bounds we seek. We establish these sequences of collapse using Lyapunov drift arguments. ",Sushil Mahavir Varma and Siva Theja Maguluri,ACM SIGMETRICS,,,,https://doi.org/10.1145/3578338.3593564," @inproceedings{10.1145/3578338.3593564,
author = {Varma, Sushil Mahavir and Castro, Francisco and Maguluri, Siva Theja},
title = {Power-of-d Choices Load Balancing in the Sub-Halfin Whitt Regime},
year = {2023},
isbn = {9798400700743},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3578338.3593564},
doi = {10.1145/3578338.3593564},
booktitle = {Abstract Proceedings of the 2023 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems},
pages = {95–96},
numpages = {2},
keywords = {delay, drift method, iterative state space collapse, steady state},
location = {Orlando, Florida, United States},
series = {SIGMETRICS '23}
}",,
13,conference,Human-AI Interactions and Societal Pitfalls,,2024,"When working with generative artificial intelligence (AI), users may see productivity gains, but the AI-generated content may not match their preferences exactly. To study this effect, we introduce a Bayesian framework in which heterogeneous users choose how much information to share with the AI, facing a trade-off between output fidelity and communication cost. We show that the interplay between these individual-level decisions and AI training may lead to societal challenges. Outputs may become more homogenized, especially when the AI is trained on AI-generated content, potentially triggering a homogenization death spiral. And any AI bias may propagate to become societal bias. A solution to the homogenization and bias issues is to reduce human-AI interaction frictions and enable users to flexibly share information, leading to personalized outputs without sacrificing productivity.",Jian Gao and Sébastien Martin,ACM Conference on Economics and Computation,,,,https://dl.acm.org/doi/10.1145/3670865.3673482,,UCLA Anderson Review|https://anderson-review.ucla.edu/ai-from-ai-a-future-of-generic-and-biased-online-content/;KellogInsight|https://insight.kellogg.northwestern.edu/article/trade-off-generative-ai;WSJ|https://www.wsj.com/tech/ai/ai-chatbots-feedback-results-fa549914,
14,conference,Optimal Design of Default Donations,,2024,"Nonprofit fundraising websites often display a set of suggested donation amounts, allowing prospective donors to effortlessly select an amount from this menu of suggestions instead of manually inputting their ideal donation. Although this strategy is effective at shaping behavior, it can also backfire: suggested amounts attract donors with both lower and higher ideal donations, potentially leading to a net decrease in revenue. To address this challenge, we present a comprehensive framework for designing a menu of suggestions to maximize fundraising revenue in the presence of heterogeneous donors. Our analysis reveals the limitations of a greedy approach. Instead, we design an algorithm based on dynamic programming principles that efficiently finds an optimal menu. Additionally, we shed light on the value of information by comparing against a benchmark that knows the largest amount that each donor would select. If the nonprofit has information about each donor's ideal donation, it can obtain a constant-factor guarantee with respect to this full-information benchmark. If the nonprofit only has distributional information, we characterize how the guarantee depends on donor heterogeneity and the size of the menu. Our algorithm is a readily-implementable tool for nonprofits, and our theoretical findings translate into guidelines for the design of fundraising websites: (i) market segmentation can be quite valuable, (ii) larger menus can serve as a partial substitute for segmentation, and (iii) menus that include suggested amounts below the most common donation are often suboptimal. As a case study, we apply our optimization framework to experimental data from Altmann et al. (2019). Our counterfactual analysis suggests that the optimal menu could increase revenue by more than 3%.",Scott Rodilitz,ACM Conference on Economics and Computation,,,,https://dl.acm.org/doi/10.1145/3670865.3673464,,,
15,journal,The Scope of Sequential Screening with Ex-post Participation Constraints,,2020,"We study the classic sequential screening problem in the presence of ex post participation constraints. We establish necessary and sufficient conditions that determine when the optimal selling mechanism is either static or sequential. In the static contract, the buyers are not screened with respect to their interim type and the object is sold at a posted price. In the sequential contract, the buyers are screened with respect to their interim type and a menu of quantities is offered. We completely characterize the optimal sequential contract with binary interim types and a continuum of ex post values. Importantly, the optimal sequential contract randomizes the allocation of the low-type buyer and awards a deterministic allocation to the high type buyer. Finally, we provide additional results for the case of multiple interim types.",Dirk Bergemann and Gabriel Weintraub,Journal of Economic Theory,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3569697,,,https://doi.org/10.1016/j.jet.2020.105055,,,
16,journal,Matching Queues with Reneging: a Product Form Solution,,2020,"Motivated by growing applications in two-sided markets, we study a parallel matching queue with reneging. Demand and supply units arrive to the system and are matched in an FCFS manner according to a compatibility graph specified by an N-system. If they cannot be matched upon arrival, they queue and may abandon the system as time goes by. We derive explicit product forms of the steady-state distributions of this system by identifying a partial balance condition.", Hamid Nazerzadeh and Chiwei Yan,Queueing Systems,https://arxiv.org/abs/2005.10728,,,https://doi.org/10.1007/s11134-020-09662-y,,,
17,journal,Surge Pricing and its Spatial Supply Response,,2021,"We consider the pricing problem faced by a revenue-maximizing platform matching price-sensitive customers to flexible supply units within a geographic area. This can be interpreted as the problem faced in the short term by a ride-hailing platform. We propose a two-dimensional framework in which a platform selects prices for different locations and drivers respond by choosing where to relocate, in equilibrium, based on prices, travel costs, and driver congestion levels. The platform's problem is an infinite-dimensional optimization problem with equilibrium constraints. We elucidate structural properties of supply equilibria and the corresponding utilities that emerge and establish a form of spatial decomposition, which allows us to localize the analysis to regions of movement. In turn, uncovering an appropriate knapsack structure to the platform's problem, we establish a crisp local characterization of the optimal prices and the corresponding supply response. In the optimal solution, the platform applies different treatments to different locations. In some locations, prices are set so that supply and demand are perfectly matched; overcongestion is induced in other locations, and some less profitable locations are indirectly priced out. To obtain insights on the global structure of an optimal solution, we derive in quasi-closed form the optimal solution for a family of models characterized by a demand shock. The optimal solution, although better balancing supply and demand around the shock, quite interestingly also ends up inducing movement away from it.",Omar Besbes and Ilan Lobel,Management Science,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3124571,,,https://doi.org/10.1287/mnsc.2020.3622,,ManSci Blogs|https://www.informs.org/Blogs/ManSci-Blogs/Management-Science-Review/Surge-Pricing-and-Its-Spatial-Supply-Response;UCLA Anderson Review|https://anderson-review.ucla.edu/a-proposal-to-improve-surge-pricing/,
18,journal,Third-Degree Price Discrimination Versus Uniform Pricing,,2022,"We compare the profit of the optimal third-degree price discrimination policy against a uniform pricing policy. A uniform pricing policy offers the same price to all segments of the market. Our main result establishes that for a broad class of third-degree price discrimination problems with concave profit functions (in the price space) and common support, a uniform price is guaranteed to achieve one half of the optimal monopoly profits. This profit bound holds for any number of segments and prices that the seller might use under third-degree price discrimination. We establish that these conditions are tight and that weakening either common support or concavity can lead to arbitrarily poor profit comparisons even for regular or monotone hazard rate distributions.",Dirk Bergemann and Gabriel Weintraub,Games and Economic Behavior,https://arxiv.org/abs/1912.05164,,,https://doi.org/10.1016/j.geb.2021.11.008,,,
19,journal,Spatial Capacity Planning,,2022,"We study the relationship between capacity and performance for a service firm with spatial operations, in the sense that requests arrive with origin-destination pairs. An example of such a system is a ride-hailing platform in which each customer arrives in the system with the need to travel from an origin to a destination. We propose a parsimonious representation of a spatial multiserver system through a state-dependent queueing model that captures spatial frictions as well as spatial economies of scale through the service rate. In a classical $M/M/n$ queueing model, the square root safety (SRS) staffing rule is known to balance server utilization and customer wait times. By contrast, we find that the SRS rule does not lead to such a balance in spatial systems. In a spatial environment, pick-up times increase the load in the system; furthermore, they are an endogenous source of extra workload that leads the system to only operate efficiently if there is sufficient imbalance between supply and demand. In heavy traffic, we derive the mapping from load to operating regimes and establish implications on various metrics of interest. In particular, to obtain a balance of utilization and wait times, the service firm should use a higher safety factor, proportional to the offered load to the power of $2/3$ . We also discuss implications of these results for general systems.",Omar Besbes and Ilan Lobel,Operations Research,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3292651,,,https://doi.org/10.1287/opre.2021.2112," @article{besbes2022spatial,
  title={Spatial capacity planning},
  author={Besbes, Omar and Castro, Francisco and Lobel, Ilan},
  journal={Operations Research},
  volume={70},
  number={2},
  pages={1271--1291},
  year={2022},
  publisher={INFORMS}
}",,
20,journal,Mechanism Design under Approximate Incentive Compatibility,,2022," A fundamental assumption in classical mechanism design is that buyers are perfect optimizers. However, in practice, buyers may be limited by their computational capabilities or a lack of information and may not be able to perfectly optimize their response to a mechanism. This has motivated the introduction of approximate incentive compatibility (IC) as an appealing solution concept for practical mechanism design. Although most of the literature has focused on the analysis of particular approximate IC mechanisms, this paper is the first to study the design of optimal mechanisms in the space of approximate IC mechanisms and to explore how much revenue can be garnered by moving from exact to approximate incentive constraints. In particular, we study the problem of a seller facing one buyer with private values and analyze optimal selling mechanisms under $\varepsilon$-incentive compatibility. We establish that the gains that can be garnered depend on the local curvature of the seller's revenue function around the optimal posted price when the buyer is a perfect optimizer. If the revenue function behaves locally like an $\alpha$-power for $\alpha\in (0,\infty)$, then no mechanism can garner gains higher than order $\varepsilon^{\alpha/(2\alpha-1)}$. This improves on state-of-the-art results that imply maximum gains of $\varepsilon^{1/2}$ by providing the first parametric bounds that capture the impact of revenue function's curvature on revenue gains. Furthermore, we establish that an optimal mechanism needs to randomize as soon as $\varepsilon>0$ and construct a randomized mechanism that is guaranteed to achieve order $\varepsilon^{\alpha/(2\alpha-1)}$ additional revenues, leading to a tight characterization of the revenue implications of approximate IC constraints. Our study sheds light on a novel class of optimization problems and the challenges that emerge when relaxing IC constraints. In particular, it brings forward the need to optimize not only over allocations and payments but also over best responses, and we develop a new framework to address this challenge.",Santiago Balseiro and Omar Besbes,Operations Research,https://arxiv.org/abs/2103.03403,,,https://doi.org/10.1287/opre.2022.2359,,,
21,journal,Getting Out of Your Own Way: Introducing Autonomous Vehicles on a Ride-Hailing Platform,,2024,"Once autonomous vehicles (AVs) are deployed for ride-hailing platforms, human drivers will compete with AVs until AV costs decrease enough to eliminate human drivers entirely. We examine a ride-hailing platform's strategy to recruit human drivers while operating a private AV fleet. Using a game-theoretic model, we analyze how the platform sets the human-driver wage and the size of its AV fleet. We show that setting a higher wage can surprisingly lead to less human-driver participation. Moreover, we show that having the option to augment its AV fleet after observing human participation levels can, counterintuitively, hurt the platform's bottom line. Our findings emphasize the need for ride-hailing platforms to carefully navigate the complex interactions between their roles as supply providers (of AV-served rides) and supply seekers (of human drivers), as failure to do so can be costly.
",Andrew Frazelle,Production and Operations Management,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3912137,,,https://doi.org/10.1177/10591478241264796,,,
22,journal,Idle wage as a tool to regulate the relationship between ride-hailing platforms and drivers,,2025,"Ride-hailing platforms typically classify drivers as either employees or independent contractors. These classifications tend to emphasise either wage certainty or flexibility, but rarely both. We study an alternative or complementary approach: the Idle wage, i.e., a form of payment to the drivers while they are not necessarily transporting passengers, but waiting to be assigned or en-route to pickup a new user. We adapt a well-known economic model of the supply-demand equilibrium in ride-hailing platforms and analyse how the optimal welfare and profit change with the introduction of an Idle wage when drivers are risk-averse. Risk-aversion plays a role, because the Idle wage will always be paid, whereas traditional payments (that still exist in our model) have a random component, namely how many users a driver is assigned to. We show that in a single-period setting, risk aversion implies that it is optimal to pay as much as possible via the Idle wage. However, if the pool of available drivers is large, even a small Idle wage could attract too many drivers, rendering the system unprofitable. When the demand fluctuates throughout multiple periods, we show that if the Idle wage has to be constant, then it is optimal to combine the Idle wage with the traditional payment via trips, so that surge pricing influences the number of drivers connected. This illustrates a relevant trade-off: Risk-aversion favours using the Idle wage to attract drivers; however, if the platform is not allowed to fully adjust the Idle wage over time, there may be periods in which the Idle wage cannot resolve the mismatch between supply and demand. We propose a partially flexible constraint that still relies as much as possible on the Idle wage. It allows the Idle wage to adapt per period, as long as it fulfils a total minimum wage requirement. Numerical simulations suggest that the Idle wage policy, if properly implemented, could be beneficial for the system as a whole.","Andres Fielbaum, David Salas, and Ruilin Zhang",Transportation Research Part C: Emerging Technologies,,,,https://doi.org/10.1016/j.trc.2025.105113,,,
23,journal,Power-of-d Choices Load Balancing in the Sub-Halfin Whitt Regime,,forthcoming,"We consider the load balancing system under Poisson arrivals, exponential services, and homogeneous servers. Upon arrival, a job is to be routed to one of the servers, where it is queued until service. We consider the Power-of-$d$ choices routing algorithm, which chooses the queue with minimum length among $d$ randomly sampled queues. We study this system in the many-server heavy-traffic regime where the number of servers goes to infinity simultaneously when the load approaches the capacity. In particular, we consider a sequence of systems with $n$ servers, where the arrival rate of the $n^{\text{th}}$ system is $\lambda=n-n^{1-\gamma}$ for some $\gamma \in (0, 0.5)$, known as the sub-Halfin-Whitt regime. It was shown by [Liu Ying (2020)] that under Power-of-$d$ choices routing with $d \geq n^\gamma \log n$, the queue length behaves similarly to that of JSQ and that there are asymptotically zero queueing delays. 

The focus of this paper is to characterize the behavior when $d$ is below this threshold. We obtain high probability bounds on the queue lengths for various values of $d$ and large enough $n$. In particular, we show that when $d$ grows polynomially in $n$ but slower than in [Liu Ying (2020)], i.e., if $d$ is $\Theta\left((n^\gamma\log n)^{1/m})\right)$ for some integer $m>1$, then the asymptotic queue length is $m$ with high probability. This finite queue length behavior is similar to JSQ in the so-called nondegenerate slowdown regime (where $\gamma=1$). Moreover, if $d$ grows polylog in $n$, i.e., slower than any polynomial, but is at least $\Omega(\log (n)^3)$, the queue length blows up to infinity asymptotically. Such behavior is similar to that under JSQ in the so-called super slowdown regime ($\gamma>1$). We obtain these results by using an iterative state space collapse approach. We first establish a weak state-space collapse (SSC) on the queue lengths. Then, we bootstrap on weak SSC to iteratively narrow down the region of the collapse. After enough steps, this inductive refinement provides the bounds we seek. We establish these sequences of collapse using Lyapunov drift arguments. ",Sushil Mahavir Varma and Siva Theja Maguluri,Stochastic Systems,https://arxiv.org/abs/2208.07539,,,,,,
24,journal,Electric Vehicle Fleet and Charging Infrastructure Planning,,forthcoming,"We study electric vehicle (EV) fleet and charging infrastructure planning in a spatial setting. For a centrally managed fleet that serves customer requests arriving continuously at a rate $\lambda$ throughout the day, we determine the minimum number of vehicles and chargers for a target service level, along with matching and charging policies. While non-EV systems require extra $\Theta(\lambda^{2/3})$ vehicles due to pickup times, EV systems differ. Charging increases nominal capacity, enabling pickup time reductions and allowing for an extra fleet requirement of only $\Theta(\lambda^{\nu})$ for $\nu \in (1/2, 2/3]$, depending on charging infrastructure and battery pack sizes. We propose the Power-of-$d$ dispatching policy, which achieves this performance by selecting the closest vehicle with the highest battery level from $d$ options. We extend our results to accommodate time-varying demand patterns and discuss conditions for transitioning between EV and non-EV capacity planning. Simulations verify our scaling results, insights, and policy effectiveness. While long-range, fast-charging fleets resemble non-EV systems, short-range, low-cost fleets can still perform competitively---underscoring the need for EV-aware management policies.",Sushil Mahavir Varma and Siva Theja Maguluri,Management Science,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4482128,,,,,,Sushil was a finalist in the 2023 TSL Best Student Paper Award
